업소명,업태,주소,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
H(에이치),숙박업 기타,전북특별자치도 완주군 이서면 콩쥐팥쥐로 968-13,35.8190079,127.0054212,35.8191708,127.0054879,19
무인텔 탑,여관업,전북특별자치도 순창군 순창읍 순창로 96,35.3647675,127.1427964,35.3646401,127.1429370,19
호텔사운즈,여관업,전북특별자치도 전주시 완산구 한두평3길 7-6 (중화산동2가),35.8151334,127.1239255,35.8150613,127.1241156,19
리틀프로방스(냇가마을),숙박업 기타,전북특별자치도 무주군 설천면 구천동로 930-18,35.9076456,127.7721556,35.9077562,127.7723151,19
더시티호텔,일반호텔,전북특별자치도 군산시 소룡1길 49 (소룡동),35.9728692,126.6761415,35.9729897,126.6759938,19
관망모텔,여관업,전북특별자치도 김제시 하정1길 40 (흥사동),35.8365695,126.9058811,35.8365416,126.9060863,19
스타팰리스 모텔,여관업,전북특별자치도 김제시 하정1길 9 (흥사동),35.8358452,126.9059571,35.8360102,126.9059983,19
별서담,숙박업(생활),전북특별자치도 무주군 무풍면 구천동로 401,35.8917216,127.8194625,35.8915845,127.8193433,19
명품무인텔,여관업,전북특별자치도 정읍시 내장산로 92 (금붕동),35.5484196,126.8794422,35.5482628,126.8793708,19
랜드파크,여관업,전북특별자치도 익산시 배산로6길 21 (모현동1가),35.9428363,126.9404324,35.9427266,126.9402778,19
리본호텔,여관업,전북특별자치도 군산시 장미1길 21 (장미동),35.9869834,126.7150213,35.9868516,126.7151466,18
거기 무인텔,일반호텔,"전북특별자치도 완주군 이서면 콩쥐팥쥐로 984-31, 1동",35.8180647,127.0081352,35.8181849,127.0082764,18
텐 프로,여관업,전북특별자치도 완주군 삼례읍 삼례역로 90,35.9075246,127.0648067,35.9074362,127.0646335,18
용호장여관,여관업,전북특별자치도 임실군 오수면 오수로 137,35.5374000,127.3294657,35.5373997,127.3296684,18
준 드라이브인 무인텔2,여관업,전북특별자치도 김제시 황산면 풍요로 516-11,35.7884654,126.9559144,35.7883794,126.9557430,18
뜨란채,숙박업 기타,전북특별자치도 순창군 팔덕면 강천로 664-28,35.4161754,127.0779067,35.4160649,127.0777590,18
에코리조트,숙박업 기타,전북특별자치도 남원시 주천면 제바위길 36,35.4069936,127.4118926,35.4068502,127.4119877,18
에꼬빌(개나리동),숙박업(생활),전북특별자치도 무주군 설천면 구천동로 954-14,35.9069898,127.7714367,35.9070575,127.7716194,18
S모텔,여관업,전북특별자치도 김제시 콩쥐팥쥐로 91-15 (순동),35.8088109,126.9145294,35.8089242,126.9143867,18
훼미리하우스콘도,여관업,전북특별자치도 무주군 설천면 관동길 15,35.9069031,127.7539591,35.9067420,127.7539450,18
해넘이타운,여관업,전북특별자치도 부안군 변산면 변산해변로 188,35.6400163,126.4671027,35.6399002,126.4669660,18
브라운도트 완주봉동점,일반호텔,전북특별자치도 완주군 봉동읍 원둔산1길 5,35.9586603,127.1252270,35.9587725,127.1253672,18
군산 라시에스타호텔,여관업,전북특별자치도 군산시 성산면 오성로 225,36.0076681,126.7728734,36.0077055,126.7726823,18
모텔썬,여관업,전북특별자치도 완주군 봉동읍 봉동로 48-4,35.9291294,127.1684403,35.9291679,127.1686307,18
지리산프리방스,숙박업(생활),전북특별자치도 남원시 주천면 원천로 345-34,35.4012301,127.4298542,35.4013356,127.4297093,18
제일장여관,여관업,전북특별자치도 김제시 금산면 모악로 427,35.7194273,127.0372381,35.7195614,127.0371343,18
