업소명,주소,제조구분,업태,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
대상주식회사,"전북특별자치도 군산시 외항1길 208, ㈜대상 (소룡동)",냉동,제조,35.9755250,126.6542626,35.9749558,126.6529228,136
대상주식회사(군산공장),"전북특별자치도 군산시 외항1길 208, ㈜대상 (소룡동)",냉동,제조,35.9755250,126.6542626,35.9749558,126.6529228,136
(주)중앙축산 농업회사법인(포듀가공공장),전북특별자치도 익산시 현영길 94 (주)중앙축산 (현영동),냉동,제조,35.9694110,126.9354578,35.9706244,126.9354287,135
주식회사 중앙축산농업회사법인(포듀가공공장),전북특별자치도 익산시 현영길 94 (주)중앙축산 (현영동),냉동,제조,35.9694110,126.9354578,35.9706244,126.9354287,135
주식회사 중앙축산농업회사법인,전북특별자치도 익산시 현영길 94 (주)중앙축산 (현영동),냉동,제조,35.9694110,126.9354578,35.9706244,126.9354287,135
주식회사 중앙축산농업회사법인,전북특별자치도 익산시 현영길 94 (주)중앙축산 (현영동),냉동,제조,35.9694110,126.9354578,35.9706244,126.9354287,135
주식회사 중앙축산농업회사법인,전북특별자치도 익산시 현영길 94 (주)축림 (현영동),냉동,제조,35.9694110,126.9354578,35.9706244,126.9354287,135
(주)중앙축산농업회사법인,전북특별자치도 익산시 현영길 94 (주)축림 (현영동),냉동,제조,35.9694110,126.9354578,35.9706244,126.9354287,135
육군제3808부대(6탄약창),전북특별자치도 임실군 신평면 대리로 50-30,충전,제조,35.6512618,127.2557167,35.6516813,127.2571178,135
한국건설기계연구원,"전북특별자치도 군산시 나포면 철새로 1126, 건설기계 성능시험장",,저장소,36.0518656,126.8629737,36.0507769,126.8636098,134
(주)에어퍼스트,전북특별자치도 군산시 외항로 328 (소룡동),일반,제조,35.9692704,126.6327161,35.9699440,126.6314953,133
(주)오리온 제3익산공장,"전북특별자치도 익산시 동서로 317, ㈜오리온 제3익산공장 (영등동)",냉동,제조,35.9517528,126.9703957,35.9513099,126.9690338,132
(주)오리온 제3익산공장,전북특별자치도 익산시 동서로 317 (영등동),냉동,제조,35.9517528,126.9703957,35.9513099,126.9690338,132
하이즈복합재산업주식회사,전북특별자치도 완주군 봉동읍 과학로 961,일반,저장소,35.9548631,127.1247482,35.9537265,127.1246621,127
고창군청소년수련관,전북특별자치도 고창군 고창읍 운동장길 36,일반,제조,35.4325754,126.7242036,35.4333228,126.7252570,127
(주)삼일씨엔에스,전북특별자치도 군산시 군산산단로 23 (비응도동),,저장소,35.9457081,126.5380307,35.9466748,126.5387601,126
유한회사 두리 완주공장,전북특별자치도 완주군 봉동읍 테크노밸리3로 15,,저장소,35.9748011,127.1139297,35.9737877,127.1145444,126
(주)팜한농,전북특별자치도 완주군 봉동읍 완주산단2로 51-19,,판매,35.9404390,127.1341814,35.9393605,127.1339510,122
주식회사 팜한농 전주공장,전북특별자치도 완주군 봉동읍 완주산단2로 51-19,냉동,제조,35.9404390,127.1341814,35.9393605,127.1339510,122
미원상사(주),전북특별자치도 익산시 낭산면 미륵사지로 820-25,냉동,제조,36.0415226,126.9970469,36.0422522,126.9980515,121
미원상사(주) 익산공장,전북특별자치도 익산시 낭산면 미륵사지로 820-25,냉동,제조,36.0415226,126.9970469,36.0422522,126.9980515,121
(주)하림산업 함열식품2공장,전북특별자치도 익산시 함열읍 익산대로78길 137,냉동,제조,36.0328789,126.9591802,36.0322744,126.9602931,121
한국수자원공사 전주권지사,전북특별자치도 군산시 안정길 3-48 (내흥동),,저장소,36.0008337,126.7643263,36.0010730,126.7656270,120
일진제강(주),전북특별자치도 임실군 임실읍 호국로 1746,,저장소,35.6152882,127.2925012,35.6157955,127.2936677,120
대덕가스(주)고창공장,전북특별자치도 고창군 심원면 애향갯벌로 431-56,일반,제조,35.5297409,126.5298865,35.5297603,126.5285734,119
(주)교원프라퍼티 스위트호텔남원,전북특별자치도 남원시 주천면 원천로 217,냉동,제조,35.4083651,127.4157283,35.4081372,127.4144543,118
(주)삼정푸드,전북특별자치도 정읍시 정신로 22-12 (하북동),냉동,제조,35.5958260,126.8696480,35.5949073,126.8702779,117
부흥양만,전북특별자치도 고창군 신림면 평월1길 76,일반,저장소,35.4853222,126.6966320,35.4845795,126.6975253,116
(주)세아씨엠,전북특별자치도 군산시 자유로 241 (소룡동),,저장소,35.9594259,126.5749209,35.9585530,126.5755227,111
